x;float; double; ulamek
5;1,08447E-05;2,80E-14;0
5;1,96529E-05;0;0
5;1,27979E-05;1,40E-14;2,8E-14
5;6,52118E-06;0;0
5;2,42235E-06;0;1,4E-14
5;1,83536E-06;0;0
5;5,96281E-06;1,40E-14;0
6;3,37416E-06;4,00E-15;0
6;5,71415E-06;0;2,8E-14
6;5,32368E-06;0;0
6;1,43894E-05;0;0
6;5,93128E-06;7,00E-15;5,7E-14
6;5,11317E-07;7,00E-15;1,4E-14
6;9,47402E-06;0;0
6;1,31302E-06;0;1,4E-14
7;2,3669E-06;7,00E-15;0
7;4,04383E-06;0;0
7;1,03322E-05;1,40E-14;0
7;5,21159E-06;7,00E-15;0
7;2,90505E-05;0;0
7;1,04009E-06;7,00E-15;0
7;4,81971E-06;1,40E-14;0
7;6,39394E-07;0;0
0;2,13345E-05;7,00E-15;5,7E-14
0;8,00623E-06;1,40E-14;0
0;1,08292E-06;0;0
0;3,83819E-06;7,00E-15;2,8E-14
0;3,99981E-05;0;0
0;2,19511E-05;1,40E-14;0
0;5,62987E-07;0;2,8E-14
0;1,03497E-05;0;2,8E-14
0;2,00996E-05;0;5,7E-14
1;8,98255E-06;7,00E-15;2,8E-14
1;1,26314E-06;1,40E-14;0
1;5,88189E-06;1,40E-14;2,8E-14
1;8,08574E-07;0;2,8E-14
1;2,96795E-06;0;2,8E-14
1;9,61868E-06;0;2,8E-14
1;3,13253E-06;7,00E-15;0
1;4,99938E-07;0;0
1;3,19827E-06;0;0
2;1,21634E-05;0;0
2;3,40458E-06;0;2,8E-14
2;2,82568E-06;0;2,8E-14
2;9,44207E-07;0;5,7E-14
2;1,3346E-05;0;5,7E-14
2;1,01526E-05;7,00E-15;2,8E-14
2;2,59976E-06;0;0
2;6,66045E-06;0;5,7E-14
2;2,06407E-05;0;5,7E-14
3;1,51578E-05;0;0
3;2,16461E-06;0;1,4E-14
3;9,05501E-06;0;0
3;1,50924E-07;0;2,8E-14
3;7,78279E-06;0;2,8E-14
3;6,89306E-06;0;2,8E-14
3;8,89231E-07;0;1,4E-14
3;1,663E-05;1,40E-14;0
3;1,47457E-05;1,40E-14;5,7E-14
4;9,54603E-06;0;0
4;1,10775E-05;0;0
4;8,3324E-06;0;0
4;1,44122E-05;0;0
4;1,10524E-05;0;0
4;2,67038E-06;0;2,8E-14
4;3,47004E-06;7,00E-15;1,4E-14
4;5,44534E-06;1,40E-14;0
4;3,26351E-05;0;5,7E-14
5;3,32303E-05;1,40E-14;5,7E-14
5;1,83635E-06;7,00E-15;0
5;1,3341E-05;7,00E-15;5,7E-14
5;1,55748E-05;1,40E-14;0
5;8,45911E-06;4,00E-15;0
5;7,68657E-06;0;0
5;1,78934E-06;1,40E-14;0
5;1,86381E-06;0;0
5;1,68296E-06;7,00E-15;1,14E-13
6;2,50599E-06;0;0
6;5,49967E-06;0;0
6;6,88062E-06;7,00E-15;0
6;6,01863E-06;7,00E-15;5,7E-14
6;1,39026E-05;1,40E-14;0
6;2,04096E-06;7,00E-15;5,7E-14
6;1,81971E-05;0;0
6;1,37344E-05;0;0
6;1,19542E-05;1,40E-14;5,7E-14
7;7,69237E-06;7,00E-15;0
7;8,22414E-06;1,40E-14;0
7;2,48185E-05;1,40E-14;0
7;3,37147E-06;0;2,8E-14
7;1,47665E-05;0;2,8E-14
7;1,6861E-05;0;0
7;8,31425E-06;0;0
7;8,6192E-06;0;0
7;2,16654E-05;0;0
8;6,40385E-06;7,00E-15;0
8;3,44236E-06;1,40E-14;0
8;7,59672E-06;0;0
8;1,61469E-07;0;0
8;2,31638E-06;1,40E-14;0
8;1,69381E-05;7,00E-15;0
8;2,24903E-06;0;2,8E-14
8;1,42092E-06;0;2,8E-14
8;5,01485E-05;1,40E-14;0
0;7,63209E-06;7,00E-15;0
0;1,05288E-05;1,40E-14;0
0;3,68405E-07;0;2,8E-14
0;2,13258E-05;0;0
0;1,59011E-06;1,40E-14;1,4E-14
0;2,35365E-05;0;2,8E-14
0;2,82529E-05;2,80E-14;2,8E-14
0;3,36049E-05;0;5,7E-14
0;3,65432E-06;0;0
0;1,9612E-06;7,00E-15;2,8E-14
1;6,12123E-06;7,00E-15;0
1;1,62846E-05;0;0
1;2,30042E-05;0;2,8E-14
1;8,71118E-07;1,40E-14;2,8E-14
1;6,5038E-06;7,00E-15;0
1;4,35573E-06;7,00E-15;0
1;1,25134E-05;0;0
1;2,58442E-06;7,00E-15;0
1;5,0523E-06;7,00E-15;0
1;6,60578E-06;7,00E-15;0
2;3,1531E-06;1,40E-14;0
2;1,2589E-05;1,40E-14;0
2;8,50135E-06;7,00E-15;0
2;3,73016E-06;0;0
2;3,849E-06;7,00E-15;0
2;1,27861E-05;7,00E-15;0
2;5,47403E-06;0;0
2;8,33135E-06;0;0
2;2,15767E-06;0;0
2;2,4196E-06;7,00E-15;1,4E-14
3;1,41889E-05;7,00E-15;5,7E-14
3;1,253E-06;1,40E-14;0
3;2,8891E-05;7,00E-15;0
3;2,45687E-05;1,40E-14;0
3;2,28405E-05;0;0
3;4,49122E-05;7,00E-15;0
3;1,31565E-05;7,00E-15;5,7E-14
3;7,48066E-06;0;0
3;1,86514E-05;4,00E-15;5,7E-14
3;2,66256E-06;0;2,8E-14
4;2,40837E-05;0;0
4;8,02311E-06;7,00E-15;0
4;1,43597E-05;0;2,8E-14
4;2,40802E-06;0;2,8E-14
4;7,80786E-06;7,00E-15;0
4;4,36444E-09;0;2,8E-14
4;9,88188E-07;0;2,8E-14
4;4,47653E-07;1,40E-14;2,8E-14
4;7,49549E-06;0;2,8E-14
4;9,51999E-07;7,00E-15;1,4E-14
5;1,61734E-05;7,00E-15;5,7E-14
5;2,73451E-05;0;2,8E-14
5;3,20138E-05;1,40E-14;5,7E-14
5;3,59936E-05;7,00E-15;0
5;1,25885E-05;7,00E-15;0
5;2,19727E-05;1,40E-14;0
5;1,17147E-05;0;0
5;1,64842E-06;0;5,7E-14
5;5,22144E-06;0;2,8E-14
5;9,43484E-06;0;2,8E-14
6;1,07581E-05;1,40E-14;0
6;1,00177E-06;0;2,8E-14
6;2,75344E-05;7,00E-15;0
6;6,57142E-06;7,00E-15;0
6;6,53912E-06;0;0
6;3,45053E-06;0;2,8E-14
6;8,17087E-06;7,00E-15;0
6;2,69846E-05;1,40E-14;0
6;7,78288E-06;0;5,7E-14
6;3,42352E-06;7,00E-15;1,4E-14
7;9,42977E-07;7,00E-15;0
7;2,56043E-06;1,40E-14;0
7;5,7815E-06;0;5,7E-14
7;2,59771E-05;0;0
7;2,96779E-06;0;0
7;1,5696E-06;0;0
7;7,47784E-06;0;2,8E-14
7;3,39343E-05;0;0
7;8,48722E-06;1,40E-14;0
7;5,97834E-06;0;0
8;3,34154E-05;7,00E-15;0
8;7,00159E-06;7,00E-15;2,8E-14
