x;float; double; ulamek
7;1,82903E-05;7,00E-15;0
7;6,90847E-05;0;1,14E-13
7;1,6653E-06;1,40E-14;1,14E-13
7;3,63301E-05;0;1,14E-13
7;3,17778E-05;2,80E-14;5,7E-14
7;1,80774E-05;0;5,7E-14
7;1,67196E-06;1,40E-14;1,14E-13
7;2,36144E-06;1,40E-14;0
8;1,93799E-05;0;1,14E-13
8;0,000143565;0;0
8;2,15556E-05;1,40E-14;1,14E-13
8;7,45069E-05;0;2,27E-13
8;2,29735E-05;2,80E-14;0
8;9,86298E-05;1,40E-14;2,27E-13
8;2,62336E-05;1,40E-14;2,27E-13
8;4,86436E-05;1,40E-14;0
8;1,03283E-05;0;0
8;4,39841E-05;1,40E-14;1,14E-13
8;1,64263E-05;0;0
8;1,54715E-05;0;0
8;8,08471E-07;2,80E-14;0
9;2,06372E-08;0;0
9;2,60365E-05;1,40E-14;1,14E-13
9;9,59539E-06;2,80E-14;2,8E-14
9;3,37091E-05;1,40E-14;0
9;1,91573E-06;7,00E-15;0
9;1,21131E-06;0;0
9;1,85364E-05;0;0
9;3,4609E-06;1,40E-14;0
9;2,4269E-05;1,40E-14;0
9;2,35737E-05;2,80E-14;0
9;3,72365E-06;1,40E-14;0
9;2,04851E-05;0;5,7E-14
9;3,89124E-06;0;0
10;2,19044E-06;0;0
10;5,64476E-05;1,40E-14;1,14E-13
10;3,61772E-05;1,40E-14;0
10;7,76378E-05;0;2,27E-13
10;2,29627E-05;1,40E-14;0
10;1,96887E-05;0;0
10;6,20427E-05;1,40E-14;0
10;1,28843E-05;4,30E-14;0
10;7,63547E-05;2,80E-14;1,14E-13
10;4,50919E-05;1,40E-14;5,7E-14
10;6,43747E-06;0;1,14E-13
10;3,60145E-05;1,40E-14;0
10;3,87688E-05;1,40E-14;0
11;1,94863E-05;0;2,8E-14
11;4,38063E-06;1,40E-14;0
11;7,15076E-07;7,00E-15;2,8E-14
11;1,53647E-05;1,40E-14;0
11;2,02964E-05;2,80E-14;2,8E-14
11;5,42873E-06;0;0
11;2,19741E-06;2,80E-14;0
11;3,18666E-05;1,40E-14;0
11;3,13376E-05;1,40E-14;0
11;1,22258E-05;1,40E-14;2,8E-14
11;2,93092E-06;0;2,8E-14
11;1,58521E-05;1,40E-14;0
11;1,16862E-06;0;2,8E-14
12;1,32367E-05;1,40E-14;5,7E-14
12;0,000119402;1,40E-14;0
12;1,30479E-05;7,00E-15;2,27E-13
12;1,49866E-05;1,40E-14;0
12;1,52024E-05;0;0
12;4,18576E-05;1,40E-14;0
12;2,9678E-05;2,80E-14;0
12;8,66838E-05;2,80E-14;2,27E-13
12;3,3925E-05;1,40E-14;1,14E-13
12;1,61815E-05;0;0
12;2,91074E-05;1,40E-14;0
12;2,7725E-05;0;4,55E-13
12;2,92348E-05;7,00E-15;0
0;1,99246E-05;4,30E-14;0
0;3,65676E-05;0;2,27E-13
0;1,40845E-06;1,40E-14;1,14E-13
0;0,000110498;0;1,14E-13
0;1,27404E-05;1,40E-14;1,14E-13
0;3,10881E-06;1,40E-14;2,27E-13
0;1,07449E-05;1,40E-14;2,27E-13
0;7,12184E-06;1,40E-14;0
0;4,29719E-05;1,40E-14;4,55E-13
0;6,30526E-05;0;1,14E-13
0;3,16816E-05;0;0
0;3,39349E-05;8,50E-14;2,27E-13
0;1,05532E-05;1,40E-14;1,14E-13
0;7,22652E-05;1,40E-14;0
1;0,000175004;4,30E-14;2,27E-13
1;0,000234503;1,40E-14;4,55E-13
1;1,56226E-05;2,80E-14;0
1;2,63824E-05;0;0
1;5,54225E-05;0;0
1;0,000172405;0;0
1;0,000134622;2,80E-14;0
1;0,000197486;0;0
1;0,000101203;0;0
1;2,83579E-05;2,80E-14;2,27E-13
1;0,000136236;2,80E-14;4,55E-13
1;3,48245E-05;2,80E-14;0
1;2,98591E-05;5,70E-14;0
1;0,000101808;2,80E-14;4,55E-13
2;9,92586E-06;1,40E-14;1,71E-13
2;4,69385E-05;0;0
2;4,51177E-06;2,80E-14;0
2;2,57452E-05;0;0
2;1,68699E-05;4,30E-14;0
2;1,43759E-05;1,40E-14;0
2;8,37923E-07;0;5,7E-14
2;5,81585E-05;2,80E-14;0
2;7,14522E-05;2,80E-14;0
2;2,66452E-06;0;1,14E-13
2;1,26407E-05;1,40E-14;0
2;8,6723E-05;0;2,27E-13
2;1,17721E-05;0;0
2;3,6758E-06;0;1,14E-13
3;7,07267E-05;2,80E-14;0
3;2,16399E-06;1,40E-14;4,55E-13
3;4,66198E-06;1,40E-14;1,14E-13
3;0,000106535;0;0
3;5,23472E-05;1,40E-14;1,14E-13
3;9,66123E-05;1,40E-14;2,27E-13
3;2,10531E-05;2,80E-14;2,27E-13
3;8,77471E-05;0;2,27E-13
3;8,77713E-05;1,40E-14;2,27E-13
3;2,76668E-05;1,40E-14;2,27E-13
3;4,75489E-05;0;0
3;1,10168E-05;0;2,27E-13
3;1,94968E-05;0;1,14E-13
3;0,000132664;0;2,27E-13
4;3,91892E-05;0;1,14E-13
4;9,47923E-06;0;0
4;3,1582E-06;0;5,7E-14
4;8,21184E-07;0;0
4;1,0126E-05;0;5,7E-14
4;5,00768E-06;0;1,14E-13
4;2,29396E-06;0;5,7E-14
