float; double; ulamek; eigen
3,073016263;8,380953445;5,866667412;1,134127033
3,073016263;2,793651148;10,05714413;1,676190689
3,073016263;4,469841837;53,07937182;1,378571508
5,587302297;4,469841837;46,65397418;1,338095345
8,939683675;6,146032526;88,5587414;1,393254066
4,469841837;6,984127871;142,7555737;1,668254625
5,307937182;4,749206952;338,5905192;1,131746493
5,866667412;5,587302297;657,9048454;1,547619181
6,425397641;5,866667412;515,4286369;1,455555804
6,984127871;6,704762756;872,4572536;2,503174985
8,380953445;12,57143017;1058,235055;1,826984295
11,73333482;12,57143017;1618,92084;2,852381378
13,68889063;16,76190689;3005,689271;2,176190689
24,58413011;15,64444643;4170,362434;3,084127312
18,99682781;20,95238361;4100,241791;4,176190689
21,23174873;21,23174873;5883,429319;4,153968591
23,74603476;28,77460683;7148,115193;3,852381378
26,81905102;27,09841614;11220,14111;4,503174985
33,24444867;36,03809981;13679,95094;7,461905773
36,59683004;39,39048119;13030,14769;7,252381937
39,11111608;43,02222769;15376,81465;7,880953445
44,97778349;46,09524395;20834,49153;12,280954
48,60952998;51,68254625;23839,62207;12,280954
55,59365785;64,25397641;32618,11208;10,67460459
63,69524618;66,76826245;41230,37984;9,487302856
70,67937405;71,79683451;47588,17112;11,6523825
75,98731124;84,08889957;50128,15875;11,16349354
84,36826468;91,91112278;71327,78049;10,67460459
91,07302744;92,1904879;65924,02107;11,51269994
112,3047762;93,58731347;107827,1121;11,86190633
175,161927;115,6571575;97229,39647;21,63968535
122,3619203;117,0539831;119913,5644;17,93809758
125,7143017;175,7206572;134758,7473;15,70317666
136,6095412;138,8444621;152997,3782;15,5634941
141,3587481;142,4762086;195311,974;18,63651037
184,939706;171,8095456;211263,4427;18,14762142
169,2952596;322,9460728;214514,1352;24,50317778
177,9555782;179,0730386;253926,1275;21,01111384
185,2190711;195,5555804;305548,0515;17,8682563
215,3905035;408,711163;334078,4932;20,73174873
212,5968524;223,4920919;335755,522;24,78254289
269,8667009;275,7333683;377761,6988;23,38571732
265,9555893;268,4698754;392294,272;22,96666965
274,0571777;305,3460705;411618,7951;25,96984463
273,2190823;283,2762264;424471,2666;26,3888923
287,7460683;301,714324;478321,4068;27,08730509
363,1746493;335,2381378;572357,1013;31,69682949
404,5206863;412,9016397;632900,5502;27,57619404
348,0889331;356,4698865;574390,0412;32,74444867
