eigen;double;float
0;7,1E-14;1,61978E-06
0;4E-15;2,73952E-07
0;1,28E-13;4,45813E-06
0;5,7E-14;1,3409E-06
0;6,4E-14;1,8686E-06
0;2,1E-14;7,70573E-06
0;8E-15;3,80096E-07
0;7,8E-14;2,57618E-06
0;1E-15;3,01078E-08
0;0;1,39221E-08
0;0;4,99229E-08
0;1E-15;1,48022E-07
0;0;1,09003E-07
0;1E-15;1,43869E-07
0;0;7,94166E-08
0;0;2,67135E-08
0;0;6,48652E-08
0;0;6,91068E-08
0;2E-15;2,59571E-07
0;1E-15;3,91317E-08
0;0;1,19732E-07
0;0;1,97914E-08
0;0;8,62562E-08
0;0;3,14549E-09
0;0;5,1567E-08
0;0;1,53569E-07
0;0;2,41809E-09
0;0;1,38613E-07
0;0;1,28962E-07
0;1E-15;3,75575E-08
0;0;6,06511E-08
0;1E-15;3,67504E-08
0;5E-15;2,02719E-07
0;0;1,45512E-08
0;1E-15;6,07127E-08
0;2E-15;1,23095E-07
0;1E-15;3,3533E-08
0;2E-15;1,17881E-07
0;2E-15;3,87658E-08
0;0;6,10818E-08
0;4E-15;2,04868E-07
0;1E-15;3,7492E-08
0;3E-15;1,05108E-07
0;2E-15;4,64785E-08
0;0;8,98389E-09
0;2E-15;2,95278E-08
0;0;3,59282E-08
0;1E-15;6,68727E-08
0;1E-15;4,84594E-08
0;1E-15;3,79578E-08
0;1E-15;4,30028E-08
0;0;2,51034E-08
0;1E-15;5,3517E-08
0;1,6E-14;5,19144E-07
0;2E-14;7,78964E-07
0;1,3E-14;2,19282E-07
0;3E-15;1,09815E-07
0;2,3E-14;4,56563E-07
0;1E-15;9,19239E-08
0;1E-15;1,74727E-07
0;2,5E-14;4,79046E-07
0;1,2E-14;6,23646E-07
0;2,8E-14;7,21417E-07
0;1,2E-14;4,23085E-07
0;3,9E-14;8,46264E-07
0;3,3E-14;9,24428E-07
0;5E-15;3,87887E-08
0;3,6E-14;6,5785E-07
0;1E-15;1,76986E-07
0;1,3E-14;1,65145E-07
0;1,2E-14;3,00079E-07
0;2,5E-14;8,29378E-07
0;3E-15;4,20768E-07
0;2,4E-14;4,47004E-07
0;3,7E-14;6,34459E-07
0;2,1E-14;3,03609E-07
0;6,2E-14;1,5023E-06
0;2E-15;1,28955E-07
0;1E-15;7,72475E-08
0;0;4,18362E-08
0;1E-15;5,19592E-08
0;1E-15;1,11709E-07
0;2E-15;3,28566E-07
0;1E-15;9,59826E-08
0;1E-15;7,14154E-08
0;2E-15;5,59065E-08
0;3E-15;4,4551E-08
0;0;2,33142E-08
0;2E-15;1,19343E-07
0;4E-15;5,53609E-08
0;4E-15;1,09256E-07
0;1E-15;1,77627E-07
0;1E-15;2,09666E-07
0;2E-15;8,02542E-08
0;3E-15;3,96805E-08
0;2E-15;5,17136E-09
0;3E-15;1,04816E-07
0;2E-15;1,41936E-07
0;4E-15;5,43025E-08
0;8E-15;3,3226E-07
0;1E-15;8,36198E-08
0;2E-15;2,69555E-08
0;0;4,16352E-09
0;1E-15;1,21289E-09
0;0;5,3652E-08
0;0;4,05182E-09
0;1E-15;2,94436E-08
0;1E-15;6,72485E-08
0;1E-15;1,50269E-08
0;2E-15;1,70985E-08
0;2E-15;4,61121E-08
0;1E-15;9,50977E-09
0;1E-15;3,06311E-08
0;1E-15;2,27814E-08
0;1E-15;8,8786E-08
0;1E-15;2,3408E-08
0;4E-15;3,35416E-08
0;0;1,74022E-08
0;2E-15;7,93906E-08
0;0;3,02204E-08
0;0;3,20323E-08
0;0;1,20812E-09
0;1E-15;1,25053E-07
0;0;1,93354E-08
0;2E-15;2,86804E-08
0;1E-15;8,42992E-08
