float; double; ulamek; eigen
7,822223216;29,61270217;802,3366098;1,955555804
13,68889063;7,822223216;995,0985391;2,421164329
8,939683675;9,21904879;906,2604325;2,328042624
11,73333482;9,498413905;892,850907;11,360848
9,777779019;9,21904879;1114,666808;2,514286034
10,05714413;12,29206505;1037,003306;2,048677509
10,05714413;18,43809758;1337,320805;4,097355018
9,777779019;10,33650925;1031,974734;2,421164329
10,61587436;10,33650925;1103,771569;4,656085247
10,61587436;12,29206505;1254,628731;2,514286034
11,73333482;12,01269994;1197,638247;2,979894558
12,29206505;14,24762086;1126,120778;2,793651148
11,73333482;12,01269994;1356,596998;2,979894558
11,45396971;12,01269994;1299,327149;2,607407739
13,40952551;17,60000223;1363,30176;4,097355018
12,85079528;15,36508132;1311,339849;3,259259673
12,57143017;13,1301604;1647,695447;9,03280538
13,1301604;15,92381155;1914,489132;4,376720132
13,96825574;13,96825574;1601,879568;3,817989903
13,1301604;15,36508132;1648,254178;3,352381378
17,32063712;16,48254178;1696,304977;3,445503083
14,52698597;15,64444643;1719,492282;3,073016263
15,0857162;15,36508132;1769,498637;3,631746493
14,52698597;34,36190913;1899,403416;3,445503083
18,99682781;18,71746269;2036,571687;4,656085247
15,92381155;18,43809758;1910,57802;4,004233313
15,0857162;17,60000223;2284,647909;4,935450362
16,20317666;19,27619292;1956,673264;3,724868198
17,04127201;18,71746269;2338,565376;4,190476723
16,48254178;18,15873246;2243,860602;4,004233313
19,55555804;24,02539988;2298,616165;4,283598428
17,87936735;20,39365338;2425,168562;4,935450362
17,60000223;20,95238361;2483,835236;5,214815477
19,27619292;23,74603476;2461,486027;4,656085247
24,58413011;21,23174873;2392,762209;5,680424002
22,06984407;24,30476499;2817,676548;5,866667412
19,55555804;21,51111384;2696,152723;7,449736396
18,99682781;22,90793942;2864,051157;5,587302297
23,46666965;29,05397194;3041,448005;13,78201233
19,55555804;22,34920919;2882,20989;5,214815477
20,11428827;23,18730453;2740,013046;5,680424002
20,6730185;23,18730453;3497,651238;6,611641051
20,95238361;24,58413011;3178,616277;6,052910822
21,79047896;24,30476499;3253,765493;5,680424002
26,53968591;88,83810652;3105,422617;6,518519346
25,14286034;29,33333706;3302,095657;6,146032526
22,6285743;26,26032079;3754,946509;8,28783174
22,6285743;26,26032079;3650,18459;6,425397641
23,18730453;26,53968591;3687,340151;6,984127871
22,34920919;27,93651148;3604,927442;6,891006166
24,86349522;28,49524171;4104,990997;7,170371281
24,86349522;29,61270217;3918,095736;7,542858101
26,26032079;31,56825798;4570,972009;7,635979806
24,58413011;29,33333706;4319,543406;6,891006166
25,70159057;31,00952775;4451,683105;8,008466625
27,93651148;31,84762309;4246,349746;7,822223216
29,61270217;36,03809981;4296,076736;8,008466625
26,26032079;31,28889286;4729,930759;7,449736396
35,7587347;37,99365562;4926,883165;8,66031856
27,09841614;32,12698821;4651,987892;7,542858101
32,40635332;46,93333929;5871,137253;8,10158833
47,21270441;42,74286257;4879,949826;8,84656197
29,33333706;40,22857654;5226,362568;9,59153561
29,33333706;39,66984631;5195,353041;8,939683675
46,37460906;46,93333929;5480,026093;8,567196855
31,00952775;36,87619516;5248,432412;9,03280538
32,40635332;37,43492539;5942,375358;13,50264722
32,40635332;39,39048119;5722,235647;9,684657314
42,18413234;45,53651372;5086,400646;9,125927085
32,12698821;40,50794165;6217,549996;10,05714413
37,43492539;44,13968814;6440,483358;8,753440265
33,8031789;69,28254848;6108,597601;8,28783174
53,91746716;81,29524842;7353,169188;9,21904879
33,24444867;43,86032303;5759,670573;9,03280538
43,02222769;48,05079975;6898,083416;12,01269994
36,31746493;43,3015928;6984,686601;8,84656197
39,94921142;42,46349746;7007,873906;11,17460459
35,7587347;49,16826021;6292,140482;8,939683675
76,82540658;56,71111831;7357,918395;9,777779019
63,41588107;92,46985301;8474,540759;10,15026584
37,43492539;47,49206952;8318,096294;20,11428827
40,50794165;48,33016487;8370,058206;9,4052922
38,83175096;48,33016487;7537,270798;11,73333482
45,81587883;51,40318113;7962,743868;9,684657314
39,66984631;194,1587548;8128,966112;11,45396971
46,37460906;58,94603923;8037,054989;10,24338754
53,91746716;94,70477393;8399,670908;10,52275266
42,46349746;109,2317599;9039,696386;10,15026584
48,33016487;63,13651595;8339,886773;13,96825574
42,74286257;53,63810205;8546,896323;12,75767358
42,74286257;54,47619739;10506,6426;13,59576892
42,18413234;54,75556251;9398,959924;21,13862702
45,53651372;60,06349969;8965,385265;12,57143017
43,58095792;56,99048343;8867,607475;11,08148289
41,346037;57,54921366;9736,712348;11,73333482
43,58095792;58,10794389;10968,7125;12,29206505
50,28572067;57,82857877;10966,75695;17,41375883
43,3015928;59,78413458;9693,969485;11,17460459
49,72699044;72,07619963;10657,2204;12,66455187
72,63492986;74,31112055;10425,34736;12,01269994
46,65397418;63,13651595;10029,20762;13,50264722
48,8888951;66,20953222;10813,94423;11,54709141
46,93333929;62,29842061;11156,44586;12,57143017
80,45715307;64,81270664;17804,4975;11,73333482
50,56508579;69,84127871;11913,52532;14,62010768
