eigen;double;float
0;0;4,37E-07
0;1,00E-15;1,90E-07
0;1,00E-15;4,87E-07
0;0;4,19E-07
0;1,00E-15;3,01E-06
0;0;7,60E-07
0;0;2,32E-07
0;0;3,44E-07
0;1,00E-15;1,29E-07
0;1,00E-15;9,74E-07
0;1,00E-15;7,21E-08
0;1,00E-15;8,11E-07
0;1,00E-15;3,48E-07
0;0;8,69E-08
0;1,00E-15;5,06E-08
0;0;2,95E-07
0;1,00E-15;8,16E-08
0;0;2,68E-07
0;0;1,64E-06
0;0;1,49E-07
0;1,00E-15;8,21E-07
0;0;3,69E-07
0;1,00E-15;7,73E-08
0;0;1,23E-07
0;1,00E-15;3,24E-07
0;1,00E-15;6,64E-07
0;1,00E-15;7,36E-09
0;1,00E-15;4,39E-07
0;0;3,69E-07
0;0;2,61E-07
0;0;8,23E-08
0;8,00E-15;1,07E-06
0;2,00E-15;1,71E-08
0;5,00E-15;4,17E-07
0;1,80E-14;4,18E-06
0;6,00E-15;5,82E-07
0;3,00E-15;8,19E-07
0;2,00E-15;1,62E-07
0;2,00E-15;3,37E-07
0;5,00E-15;5,90E-07
0;0;5,17E-07
0;2,00E-15;2,65E-07
0;2,00E-15;1,46E-07
0;4,00E-15;4,82E-07
0;1,00E-15;4,35E-07
0;0;5,54E-07
0;6,00E-15;3,48E-07
0;9,00E-15;1,72E-06
0;8,00E-15;1,24E-06
0;3,00E-15;8,69E-07
0;7,00E-15;3,29E-07
0;2,00E-15;9,50E-08
0;2,00E-15;1,47E-06
0;0;5,68E-08
0;2,00E-15;1,09E-06
0;1,20E-14;6,46E-07
0;5,90E-14;3,20E-06
0;1,20E-14;1,19E-06
0;8,00E-15;1,05E-06
0;3,70E-14;1,99E-06
0;6,00E-15;1,78E-06
0;1,20E-14;1,86E-06
0;1,20E-14;1,22E-06
0;2,10E-14;1,55E-06
0;1,70E-14;4,02E-08
0;4,30E-14;4,30E-07
0;6,00E-15;1,55E-06
0;2,50E-14;1,11E-06
0;1,30E-14;9,19E-07
0;6,00E-15;7,20E-07
0;2,10E-14;5,28E-06
0;1,50E-14;5,09E-07
0;2,90E-14;1,44E-06
0;5,00E-15;9,07E-07
0;1,30E-14;2,62E-07
0;1,80E-14;1,85E-06
0;1,00E-15;5,42E-07
0;9,00E-15;5,18E-08
0;1,00E-15;8,40E-07
0;1,00E-15;1,42E-06
0;7,00E-15;1,69E-06
0;1,00E-15;2,80E-07
0;5,00E-15;3,59E-07
0;1,50E-14;2,62E-06
0;1,00E-15;1,11E-07
0;5,00E-15;1,11E-06
0;1,20E-14;5,43E-06
0;2,00E-15;1,30E-06
0;4,00E-15;6,70E-07
0;1,00E-15;6,73E-07
0;2,00E-15;1,07E-08
0;3,00E-15;3,82E-07
0;6,00E-15;2,97E-06
0;5,00E-15;1,17E-06
0;1,00E-15;5,23E-07
0;4,00E-15;1,43E-06
0;5,00E-15;1,36E-06
0;9,00E-15;1,37E-06
0;2,00E-15;2,94E-07
0;0;8,28E-07
0;7,00E-15;1,79E-06
0;9,00E-15;1,99E-06
0;6,00E-15;1,53E-06
0;0;8,10E-08
0;3,00E-15;4,44E-07
0;8,00E-15;1,23E-06
0;1,00E-15;7,47E-07
0;2,00E-15;3,94E-06
0;6,00E-15;5,17E-07
0;0;1,59E-06
0;1,00E-15;2,01E-07
