float; double; ulamek; eigen
5,028572067;4,749206952;5,028572067;0,977777902
3,352381378;3,073016263;9,21904879;1,117460459
3,352381378;7,822223216;9,777779019;0,838095345
3,631746493;4,190476723;9,777779019;0,838095345
6,425397641;5,587302297;9,498413905;0,838095345
3,911111608;6,425397641;11,45396971;0,838095345
4,190476723;3,911111608;29,61270217;0,838095345
4,190476723;3,911111608;21,23174873;0,977777902
5,028572067;4,190476723;26,26032079;0,838095345
5,028572067;10,61587436;26,26032079;0,977777902
10,61587436;9,777779019;33,8031789;0,838095345
5,307937182;6,425397641;42,18413234;0,977777902
8,380953445;5,307937182;51,12381602;0,977777902
11,45396971;6,146032526;69,28254848;0,977777902
10,61587436;7,542858101;70,40000894;1,117460459
16,76190689;12,01269994;75,98731124;1,117460459
8,66031856;7,542858101;84,92699491;0,977777902
11,73333482;8,10158833;105,8793785;1,117460459
9,777779019;11,73333482;115,0984273;1,117460459
10,05714413;11,73333482;134,9333505;1,536508132
13,68889063;12,85079528;153,9301783;1,117460459
10,61587436;12,29206505;162,3111317;1,257143017
14,52698597;14,24762086;288,8635287;1,815873246
20,39365338;20,6730185;183,5428804;1,536508132
15,64444643;17,87936735;179,3524037;1,396825574
28,77460683;14,80635109;196,6730408;1,536508132
18,43809758;15,64444643;255,0603498;2,234920919
25,14286034;19,55555804;251,9873336;3,492063936
22,34920919;18,71746269;281,8794009;1,536508132
25,14286034;22,06984407;299,4794031;1,815873246
24,30476499;24,86349522;327,1365495;1,676190689
23,74603476;22,06984407;368,7619516;1,955555804
27,93651148;21,51111384;502,8572067;1,815873246
32,68571844;24,02539988;462,3492651;1,955555804
29,33333706;38,83175096;444,4698977;1,815873246
26,26032079;31,84762309;429,9429117;1,955555804
27,65714637;30,1714324;536,6603856;1,955555804
27,65714637;36,31746493;653,7143687;7,123810428
27,65714637;24,86349522;652,038178;2,095238361
27,09841614;32,68571844;541,1302274;2,514286034
26,53968591;35,20000447;706,2350103;2,933333706
30,1714324;35,47936958;790,0445448;2,514286034
29,61270217;35,47936958;714,3365986;6,704762756
32,40635332;33,52381378;869,1048723;5,866667412
45,81587883;43,58095792;811,2762935;3,073016263
32,40635332;38,55238585;845,9175677;3,492063936
35,47936958;41,62540211;844,5207422;3,77142905
38,55238585;42,18413234;1075,276327;7,961905773
37,15556027;38,83175096;1185,904912;6,704762756
39,94921142;39,94921142;1104,889029;4,33015928
36,87619516;34,64127424;1214,120789;4,190476723
41,90476723;41,06667188;1091,758869;5,866667412
42,18413234;47,49206952;1310,501754;5,866667412
41,62540211;44,97778349;1106,844585;6,984127871
51,68254625;48,60952998;1545,447815;6,285715084
72,07619963;55,59365785;1653,28275;8,380953445
53,63810205;60,34286481;1621,993857;7,263492986
53,07937182;108,9523948;1847,72087;12,43174761
52,24127648;57,54921366;1901,079606;7,403175543
55,87302297;62,01905549;2013,943113;8,66031856
51,12381602;63,41588107;1701,333549;9,917461577
81,29524842;63,13651595;1911,416116;9,498413905
94,70477393;82,41270888;2113,955824;15,64444643
64,81270664;73,19366009;2239,949491;8,10158833
70,67937405;84,36826468;1921,47326;8,520636003
65,09207176;77,66350193;1992,152634;9,498413905
65,9301671;81,57461353;2203,632026;8,939683675
71,5174694;83,80953445;2301,409816;10,05714413
76,82540658;81,0158833;2515,403494;11,03492204
78,50159727;94,42540882;3064,914675;9,498413905
84,36826468;122,9206505;3184,482944;10,33650925
87,72064606;80,17778796;3026,921019;12,85079528
86,04445537;86,6031856;2932,774976;10,19682669
95,26350416;96,93969485;3133,359128;10,61587436
87,72064606;87,72064606;3221,359139;9,777779019
84,08889957;102,247632;3137,549605;19,97460571
87,72064606;90,79366232;3091,174996;14,80635109
108,1142994;117,3333482;2983,060696;11,31428715
86,32382049;97,77779019;4475,42914;10,75555692
87,16191583;99,17461577;3545,422672;12,1523825
98,89525065;111,7460459;3194,540088;14,80635109
102,8063623;132,1396993;4840,27998;19,6952406
122,0825552;163,4285922;4286,857687;13,54920807
103,9238227;146,3873202;3713,321106;14,1079383
119,5682692;212,5968524;4145,498939;13,68889063
114,8190622;124,5968412;4231,543394;14,1079383
97,49842508;123,4793808;4696,12758;13,26984295
244,4444755;177,3968479;5289,778449;14,80635109
117,8920785;132,9777947;4845,587917;13,1301604
106,996839;125,1555714;5404,318147;14,38730341
117,0539831;141,6381132;5722,794377;13,82857318
112,0254111;169,2952596;4911,238719;15,50476387
110,6285855;167,6190689;6080,381724;17,32063712
116,4952529;186,8952618;6120,610301;15,36508132
136,8889063;185,7778014;5298,438768;16,20317666
128,7873179;169,0158945;6175,365864;15,78412899
111,4666808;162,0317666;6733,257998;15,64444643
128,2285877;158,120655;6494,68019;25,70159057
127,3904924;195,2762153;6011,378541;17,60000223
237,4603476;230,1968546;5790,959466;29,05397194
156,7238294;182,42542;7718,020028;19,6952406
148,6222411;208,6857408;7053,131054;19,13651037
146,1079551;180,4698642;7460,445392;17,32063712
117,8920785;217,6254245;7509,054922;18,57778014
119,0095389;190,5270083;7848,204171;23,74603476
